Timestamp,X,Y,Z
1717728847019.89648,  -0.61920,  -7.09575,   1.51732
1717728847036.57080,  -0.90625,  -6.12437,  -0.36082
1717728847053.24487,  -0.43424,  -7.09463,  -1.13462
1717728847069.91895,   2.17055,  -9.57465,  -0.69778
1717728847086.59302,   4.52437, -10.19782,   3.18642
1717728847103.26733,   4.12622, -10.62793,   6.32689
1717728847119.94141,   2.05972, -11.20809,   8.52246
1717728847136.61548,   1.99812, -12.49145,   5.10724
1717728847153.28955,   2.49631, -12.78206,   5.30843
1717728847169.96387,   2.72893, -13.38391,   8.70518
1717728847186.63794,   2.82222, -12.80688,   8.77711
1717728847203.31201,   3.59730, -12.89009,   5.81919
1717728847219.98633,   4.61402, -13.20821,   1.79102
1717728847236.66040,   5.99630, -14.81214,  -4.91711
1717728847253.33447,   5.18255, -16.83575,  -5.00769
1717728847270.00854,   2.42620, -17.69493,  -6.84713
1717728847286.68286,   0.02940, -18.72966,  -7.42357
1717728847303.35693,  -4.54074, -23.02982,  -8.46784
1717728847320.03101,  -9.15862, -23.69294,  -9.44450
1717728847336.70508, -10.85526, -19.82367,  -2.98329
1717728847353.37939, -11.05728, -14.01834,   7.58824
1717728847370.05347,  -6.95506,  -7.03380,  -0.43887
1717728847386.72754,  -4.53851,  -6.18837,  -5.63124
1717728847403.40161,  -1.93382,  -5.58735,  -5.46779
1717728847420.07593,   0.75393,  -5.03994,  -3.52942
1717728847436.75000,   3.24819,  -5.48308,  -4.73433
1717728847453.42407,   3.43757,  -4.30428,  -4.55057
1717728847470.09839,   2.61186,  -2.74224,  -4.01490
1717728847486.77246,   1.58061,  -1.41027,  -3.85256
1717728847503.44653,   2.47367,  -0.22576,  -5.72231
1717728847520.12061,   2.68491,   0.38468,  -7.05628
1717728847536.79492,   0.82465,  -0.24115,  -6.25367
1717728847553.46899,  -0.45356,  -2.38608,  -4.67798
1717728847570.14307,  -1.30409,  -5.24878,  -2.00059
1717728847586.81714,  -2.03386,  -8.38120,   1.21416
1717728847603.49146,  -9.53817, -25.83116,  32.25496
1717728847620.16553,  -5.78718, -23.02397,  28.35426
1717728847636.83960,  -4.03256, -16.26891,  16.71007
1717728847653.51367,  -3.09312,  -7.90181,   1.90398
1717728847670.18799, -11.17186,  -8.50528, -10.75091
1717728847686.86206, -13.94337, -16.82699, -16.62657
1717728847703.53613,  -7.60102, -11.72140,  -5.43838
1717728847720.21045,  -4.01931,  -9.70766,   4.94303
1717728847736.88452,   1.13020,  -7.80402, -10.50720
1717728847753.55859,   2.12507,  -7.76795, -14.20775
1717728847770.23267,   1.73293,  -8.34208, -13.63713
1717728847786.90698,  -0.01713, -12.47209,  -8.11182
1717728847803.58105,  -0.00782, -16.02890,  -6.02803
1717728847820.25513,   1.53287, -17.79938,  -4.07045
1717728847836.92920,   3.81085, -18.70980,  -2.17363
1717728847853.60352,   4.08743, -13.96691,  -5.53888
1717728847870.27759,   3.27552,  -9.74926,  -5.18687
1717728847886.95166,   3.83655,  -8.09429,  -0.77936
1717728847903.62598,   3.77380,  -7.12680,  -0.71792
1717728847920.30005,   3.71105,  -6.15932,  -0.65648
1717728847936.97412,   3.71469,  -5.86373,  -0.74432
1717728847953.64819,   3.04689,  -6.51164,   0.35960
1717728847970.32251,  -1.35990, -10.30846,   8.18626
1717728847986.99658,  -2.69406,  -9.87620,  12.71400
1717728848003.67065,  -1.60166,  -9.06940,   8.94086
1717728848020.34473,  -0.34620,  -8.63992,   3.37178
1717728848037.01904,   0.42747,  -9.05899,  -1.23688
1717728848053.69312,   0.95109, -10.39942,  -3.45765
1717728848070.36719,   1.79804, -10.95793,  -3.63837
1717728848087.04126,   2.32257, -11.26567,  -0.63975
1717728848103.71558,   0.89707, -11.66998,  13.42615
1717728848120.38965,   2.60319, -12.50089,  10.80045
1717728848137.06372,   4.61343, -13.15557,   4.20164
1717728848153.73804,   4.61343, -13.15557,   4.20164
1717728848170.41211,   4.61343, -13.15557,   4.20164
1717728848187.08618,   4.61343, -13.15557,   4.20164
1717728848203.76025,   4.61343, -13.15557,   4.20164
1717728848220.43457,   3.88963, -14.47968,  -3.48740
1717728848237.10864,   2.59337, -16.50353,  -6.13859
1717728848253.78271,   1.13093, -18.65658,  -6.46823
1717728848270.45679,  -0.31197, -20.74302,  -6.66456
1717728848287.13110,  -8.40972, -26.60201,  -9.67263
1717728848303.80518, -11.60990, -25.75319,  -8.55734
1717728848320.47925, -12.02829, -21.19204,  -5.15100
1717728848337.15356,  -9.70650, -10.68482,  -0.59516
1717728848353.82764,  -7.02129,  -6.17723,  -2.69197
1717728848370.50171,  -4.38712,  -4.56187,  -7.59860
1717728848387.17578,  -0.38251,  -4.21070,  -6.38731
1717728848403.85010,   1.45472,  -5.03797,  -3.96079
1717728848420.52417,   2.97463,  -5.64364,  -3.29604
1717728848437.19824,   4.19119,  -6.03744,  -4.31569
1717728848453.87231,   2.78897,  -2.10838,  -3.07943
1717728848470.54663,   2.51046,  -0.48841,  -3.46648
1717728848487.22070,   2.64516,   0.30001,  -4.42506
1717728848503.89478,   3.03758,   0.19762,  -5.16691
1717728848520.56885,   0.96552,  -1.09789,  -4.56038
1717728848537.24316,  -0.22239,  -2.11585,  -3.96661
1717728848553.91724,  -0.98317,  -2.99972,  -3.37903
1717728848570.59131,  -1.74396,  -3.88359,  -2.79144
1717728848587.26562,  -9.70063, -24.34120,  29.98475
1717728848603.93970,  -6.21461, -19.74426,  19.59022
1717728848620.61377,  -2.94523, -14.04555,  10.17292
1717728848637.28784,  -3.38371,  -9.35297,   0.26788
1717728848653.96216,  -5.59150,  -5.14043,  -9.87004
1717728848670.63623, -10.44941, -13.82285, -11.89243
1717728848687.31030, -10.90483, -20.19811,  12.26697
1717728848703.98438,  -7.35671, -19.48072,  10.64013
1717728848720.65869,  -1.73476, -15.08941,  -4.34371
1717728848737.33276,   1.53783,  -6.89490, -10.09538
1717728848754.00684,   0.11921,  -7.51969,  -7.53211
1717728848770.68115,   0.02751,  -9.53649,  -6.31900
1717728848787.35522,   0.68034, -12.33431,  -5.86350
1717728848804.02930,   4.31630, -14.42266,  -7.24597
1717728848820.70337,   5.12925, -13.81845,  -7.01304
1717728848837.37769,   4.62692, -12.92762,  -7.11141
1717728848854.05176,   3.95424, -12.52500,  -8.19705
1717728848870.72583,   4.54454, -11.46855,  -5.30738
1717728848887.39990,   5.66781, -10.13618,  -0.74014
1717728848904.07422,   5.47204,  -7.79483,   0.56862
1717728848920.74829,   0.59604, -10.05064,  11.69378
1717728848937.42236,  -1.42891, -10.79863,  15.60577
1717728848954.09644,  -1.88386, -10.56068,  15.55814
1717728848970.77075,  -0.28949,  -8.37611,   7.50583
1717728848987.44482,   0.05883,  -6.86425,  -0.60879
1717728849004.11890,   0.23233,  -6.98208,  -3.75248
1717728849020.79321,   0.39033,  -7.68008,  -5.07638
1717728849037.46729,   0.22059, -10.41057,  -1.44798
1717728849054.14136,  -0.23367, -12.16305,   1.30670
1717728849070.81543,   0.02366, -12.81504,   4.55297
1717728849087.48975,   1.78282, -12.87347,   6.95279
1717728849104.16382,   4.68270, -12.65869,   8.16804
1717728849120.83789,   6.13590, -13.03828,   5.81802
1717728849137.51196,   7.01084, -13.61938,   2.19869
1717728849154.18628,   8.28828, -12.89638,   4.48966
1717728849170.86035,   7.26983, -13.02780,   2.89831
1717728849187.53442,   6.13358, -13.20306,   1.10778
1717728849204.20874,   5.55670, -13.29204,   0.19871
1717728849220.88281,   5.55670, -13.29204,   0.19871
1717728849237.55688,   1.81180, -17.00490,  -2.24240
1717728849254.23096,  -3.16099, -21.93514,  -5.48390
1717728849270.90527,  -8.79440, -24.83209,  -6.96804
1717728849287.57935,  -9.49507, -14.57086,   2.89751
1717728849304.25342,  -8.39535,  -9.29500,   2.58136
1717728849320.92749,  -6.18658,  -7.18594,  -4.14930
1717728849337.60181,  -3.50320,  -6.42382,  -4.89172
1717728849354.27588,  -1.54880,  -5.99084,  -4.00898
1717728849370.94995,   0.02438,  -5.62391,  -2.75511
1717728849387.62402,   2.86164,  -5.33269,  -3.62458
1717728849404.29834,   1.89579,  -3.34160,  -3.21295
1717728849420.97241,   1.18704,  -2.05619,  -3.34163
1717728849437.64648,   0.61190,  -1.13745,  -3.75107
1717728849454.32080,   1.64032,   0.42637,  -6.75463
1717728849470.99487,   1.16409,   0.64457,  -6.42420
1717728849487.66895,   0.06197,   0.19207,  -5.15502
1717728849504.34302,  -0.99386,  -0.33608,  -4.26845
1717728849521.01733,  -1.76819,  -3.39478,  -2.02915
1717728849537.69141,  -2.39796,  -7.75275,   0.90468
1717728849554.36548,  -8.08947, -25.81359,  32.65310
1717728849571.03955,  -2.53169, -20.13379,  17.57979
1717728849587.71387,  -2.14667, -11.96576,   5.59455
1717728849604.38794,  -3.68359,  -5.44464,  -3.59647
1717728849621.06201,  -5.54838,  -3.29619, -10.34264
1717728849637.73633,  -7.28685,  -9.48869, -16.25723
1717728849654.41040,  -7.03186, -14.01947,  -4.79902
1717728849671.08447,  -4.49800, -12.48864,   3.73034
1717728849687.75854,  -1.55102, -11.06797,  -8.50815
1717728849704.43286,  -0.64771, -10.21024, -11.88486
